V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,MTurkCode,Q6,Q33,Q0,Q4,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q6_13,Q6_14,Q6_15,Q6_16,Q6_17,Q7,Q8,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q10_11,Q10_12,Q10_13,Q10_14,Q10_15,Q10_16,Q10_17,Q11,Q12,Q13,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11,Q14_12,Q14_13,Q14_14,Q14_15,Q14_16,Q14_17,Q35,Q24,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q28_6,Q28_6_TEXT,Q28_7,Q28_8,Q29,LocationLatitude,LocationLongitude,LocationAccuracy,
R_1rCcO0N3Oj4Z41y,Default Response Set,Anonymous,,,186.92.171.53,0,2017-04-10 16:14:18,2017-04-10 16:17:19,1,178005,1,1,,,,,,,,,,,,,,,,,,,,,3,6,3,1,2,3,2,2,1,1,1,1,1,1,3,1,3,4,3,1,3,6,3,2,3,3,3,3,2,1,1,1,1,1,4,1,3,4,3,1,Their movements were too robotic.,28,,,,,,,,1,,1,10.24690246582,-67.595802307129,-1,
R_2SAd4ReggrSkkAF,Default Response Set,Anonymous,,,69.207.57.101,0,2017-04-10 16:18:09,2017-04-10 16:21:29,1,937311,1,1,2,7,3,1,1,3,3,3,1,1,1,1,1,1,3,1,3,3,3,1,2,7,3,1,1,3,3,3,1,1,1,1,1,1,3,1,3,5,3,1,,,,,,,,,,,,,,,,,,,,,There wasn't much to their facial expressions,35,1,,,,,,,,,2,43.010894775391,-78.957397460938,-1,
R_10Afmay9hATgFA5,Default Response Set,Anonymous,,,63.151.141.158,0,2017-04-10 16:19:39,2017-04-10 16:21:51,1,2991,1,1,2,9,1,1,2,2,2,3,1,1,1,1,1,1,2,1,5,5,3,1,,,,,,,,,,,,,,,,,,,,,2,8,2,1,1,3,3,3,2,1,1,1,1,1,3,1,5,5,3,3,"They seemed fairly natural, overall.",35,1,,,,,,,,,1,36.635498046875,-88.282997131348,-1,
R_3PuTkmZP8AIgIPC,Default Response Set,Anonymous,,,75.169.55.10,0,2017-04-10 16:23:15,2017-04-10 16:27:24,1,266638,1,1,,,,,,,,,,,,,,,,,,,,,1,3,8,1,1,4,3,4,2,1,1,1,1,1,2,1,4,5,3,2,1,3,8,1,1,4,3,4,2,1,1,1,1,1,2,1,4,5,3,2,It didn't look very natural to me at all. The voice and mouth movements didn't line up and the hand gestures seemed a little random.,29,1,,,,,,,,,1,40.714996337891,-111.89340209961,-1,
R_3HObItYYdomRZCe,Default Response Set,Anonymous,,,111.92.28.180,0,2017-04-10 16:29:38,2017-04-10 16:35:02,1,639080,1,1,3,5,7,3,3,3,4,4,4,2,1,2,2,1,4,2,4,4,4,2,3,5,6,3,3,3,4,4,3,1,1,2,1,1,4,1,4,3,3,3,,,,,,,,,,,,,,,,,,,,,"In first example, expressions and movements were more natural. ",43,,,,1,,,,,,2,8.5068969726562,76.956909179688,-1,
R_5oJkQYtH6Apul3z,Default Response Set,Anonymous,,,99.157.102.220,0,2017-04-10 16:35:15,2017-04-10 16:37:31,1,433800,1,1,,,,,,,,,,,,,,,,,,,,,4,7,4,3,2,3,3,4,2,1,1,1,1,1,3,1,3,5,4,1,3,7,5,3,3,3,2,3,3,1,1,1,1,1,4,1,2,3,2,4,I thought they were natural.,26,1,,,,,,,,,2,34.126800537109,-84.573997497559,-1,
R_1eDGtU7WtBzJ34l,Default Response Set,Anonymous,,,179.52.139.132,0,2017-04-10 16:28:50,2017-04-10 16:38:36,1,367734,1,1,,,,,,,,,,,,,,,,,,,,,4,4,5,2,3,3,4,3,3,2,2,2,2,2,4,2,2,4,3,2,3,7,6,1,3,3,3,4,2,2,2,2,1,1,4,1,3,5,4,3,there were natural,35,,,,,,,,1,,1,18.466705322266,-69.900001525879,-1,
R_3KZRkb2pLMDyMpr,Default Response Set,Anonymous,,,201.208.141.242,0,2017-04-10 16:27:41,2017-04-10 16:41:51,1,656372,1,1,4,4,3,3,3,4,4,4,4,1,1,2,1,1,4,3,4,4,4,1,,,,,,,,,,,,,,,,,,,,,4,5,4,3,4,4,3,4,4,2,1,2,2,1,4,4,4,3,4,3,"Yes, they both seemed very natural.",23,,,,,,,,1,,1,8,-66,-1,
R_24vIlSRNegvXtrw,Default Response Set,Anonymous,,,72.199.66.86,0,2017-04-10 16:41:42,2017-04-10 16:43:10,1,421506,1,1,2,7,4,2,2,2,3,3,2,2,2,2,2,2,2,3,3,4,2,1,3,6,4,2,2,2,3,2,2,1,2,2,2,2,2,2,3,4,3,2,,,,,,,,,,,,,,,,,,,,,Mouth movements looked unnatural,20,,,,1,,,,,,1,32.636093139648,-117.05319976807,-1,
R_r1t8gUOg3lhYOlz,Default Response Set,Anonymous,,,72.209.192.33,0,2017-04-10 16:42:44,2017-04-10 16:43:41,1,392303,1,1,6,5,7,4,4,1,3,5,3,4,2,2,3,4,3,3,3,1,2,3,,,,,,,,,,,,,,,,,,,,,7,4,5,3,2,4,4,4,5,2,1,4,4,3,5,2,3,4,3,4,No,24,1,,,,,,,,,2,38.879104614258,-77.376602172852,-1,
R_6mLGAfOBooNPJ2F,Default Response Set,Anonymous,,,122.174.122.13,0,2017-04-10 16:43:22,2017-04-10 16:46:19,1,913041,1,1,6,6,5,5,5,4,2,5,3,2,2,4,3,4,2,3,1,4,1,3,5,5,5,2,2,5,4,4,3,2,4,1,3,2,5,3,1,3,4,5,,,,,,,,,,,,,,,,,,,,,nocomment,35,,,,1,,,,,,1,13.083297729492,80.283294677734,-1,
R_rpgDO3EwdIGptKx,Default Response Set,Anonymous,,,201.242.57.209,0,2017-04-10 16:42:24,2017-04-10 16:46:24,1,714649,1,1,5,7,3,3,2,4,4,4,2,1,2,1,2,1,1,2,3,5,4,1,,,,,,,,,,,,,,,,,,,,,5,8,2,3,4,4,4,4,2,1,1,1,1,1,1,1,4,5,3,3,,21,,,,,,,,1,,1,10.24690246582,-67.595802307129,-1,
R_3g1OkrbtX6bgY2z,Default Response Set,Anonymous,,,98.250.172.178,0,2017-04-10 16:44:44,2017-04-10 16:47:46,1,26457,1,1,,,,,,,,,,,,,,,,,,,,,5,6,2,1,1,1,1,2,1,1,1,1,1,1,1,1,3,4,5,1,4,6,4,1,2,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,They weren't very realistic,61,1,,,,,,,,,2,42.545700073242,-83.216499328613,-1,
R_0PrRiVN1sBjF5yV,Default Response Set,Anonymous,,,163.47.13.161,0,2017-04-10 16:47:04,2017-04-10 16:54:12,1,601146,1,1,,,,,,,,,,,,,,,,,,,,,5,4,5,2,1,1,2,2,2,1,1,2,2,2,1,1,2,2,2,2,5,4,5,4,3,3,3,3,2,2,3,2,1,2,3,2,2,2,2,3,its different,29,,,,1,,,,,,1,12.983306884766,77.583312988281,-1,
R_yxPB9rsU1hnaXpn,Default Response Set,Anonymous,,,68.36.163.82,0,2017-04-10 16:57:00,2017-04-10 16:59:26,1,832947,1,1,4,9,1,1,2,3,1,4,1,1,1,1,1,1,3,1,3,5,4,1,5,8,2,1,2,2,1,3,1,1,1,1,1,1,3,1,5,5,4,1,,,,,,,,,,,,,,,,,,,,,There was a long pause before the beginning of the audio and thatt was a little weird.,22,1,,,,,,,,,2,42.426803588867,-83.193496704102,-1,
R_WqFXJa1wplvXTvX,Default Response Set,Anonymous,,,171.49.172.14,0,2017-04-10 16:57:05,2017-04-10 16:59:44,1,784214,1,1,7,7,3,3,4,3,3,3,2,3,5,2,1,3,2,3,4,5,4,4,,,,,,,,,,,,,,,,,,,,,4,6,5,3,4,3,3,3,1,4,3,3,3,4,2,2,3,2,3,1,UN-NATURAL FACE EXPRESSIONS ARE REALLY NOT QUITE GREAT,23,,,,,,,,,1,1,13.083297729492,80.283294677734,-1,
R_bloprSLTdWzJKCt,Default Response Set,Anonymous,,,67.171.186.21,0,2017-04-10 17:02:50,2017-04-10 17:05:04,1,774586,1,1,3,7,5,3,3,3,4,5,3,1,2,2,2,2,4,2,4,4,4,2,2,8,3,3,4,3,4,4,4,1,2,1,1,1,4,2,4,5,4,4,,,,,,,,,,,,,,,,,,,,,The characters were pretty lifelike and animate.,27,1,,,,,,,,,1,45.498001098633,-122.77839660645,-1,
R_2wpmPu2Fwt5bKkW,Default Response Set,Anonymous,,,32.213.48.207,0,2017-04-10 17:10:01,2017-04-10 17:11:47,1,26187,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,,,,,,,,,,,,,,,,,,,,,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,they looked like they had pretty natural movements,31,1,,,,,,,,,1,41.230499267578,-73.125701904297,-1,
R_3gXk9HlstYPyFOi,Default Response Set,Anonymous,,,68.35.250.83,0,2017-04-10 17:11:24,2017-04-10 17:13:33,1,223505,1,1,,,,,,,,,,,,,,,,,,,,,3,6,3,1,2,4,4,3,1,1,1,1,1,1,1,1,4,5,3,2,4,7,2,2,2,4,4,5,2,1,1,1,1,1,3,1,2,5,4,3,No thoughts,27,1,,,,,,,,,1,30.399398803711,-84.172500610352,-1,
R_2sbEoggp71fDfNj,Default Response Set,Anonymous,,,137.97.12.200,0,2017-04-10 17:13:28,2017-04-10 17:14:40,1,859016,1,1,7,8,8,4,4,4,3,5,3,4,3,4,4,4,4,5,4,5,5,4,,,,,,,,,,,,,,,,,,,,,7,6,7,4,3,3,5,5,3,4,5,4,3,4,4,3,5,5,4,4,Yes I do,27,1,,,,,,,,,1,10.516693115234,76.216705322266,-1,
R_pMEO52Upgi2wLlv,Default Response Set,Anonymous,,,77.2.16.13,0,2017-04-10 17:27:01,2017-04-10 17:29:37,1,854350,1,1,3,6,6,2,2,2,2,3,2,2,3,2,2,3,4,2,2,3,2,3,2,7,5,2,2,3,2,3,2,2,2,2,2,2,2,2,3,5,4,2,,,,,,,,,,,,,,,,,,,,,,39,1,,,,,,,,,1,52.516693115234,13.399993896484,-1,
R_uayd6UTYtRnwpVf,Default Response Set,Anonymous,,,24.241.223.182,0,2017-04-10 17:46:32,2017-04-10 17:47:06,1,822904,1,1,1,7,7,2,4,4,2,1,5,4,2,1,5,4,3,4,1,4,5,2,,,,,,,,,,,,,,,,,,,,,8,3,6,3,2,1,1,2,2,3,5,3,5,1,1,3,4,3,4,5,idk,25,1,,,,,,,,,1,34.251907348633,-86.257102966309,-1,
R_Ov9xrnIyi0pXWpz,Default Response Set,Anonymous,,,173.218.181.22,0,2017-04-17 08:40:26,2017-04-17 08:43:07,1,70958,1,1,4,9,1,1,1,1,1,4,1,1,1,1,1,1,5,1,5,5,1,1,3,9,9,1,1,1,1,5,1,1,1,1,1,1,5,1,1,5,1,1,,,,,,,,,,,,,,,,,,,,,I thought they looked somewhat natural but very mean.,44,1,,,,,,,,,2,35.769805908203,-91.640998840332,-1,
R_2DYWsbJS0WUH1vQ,Default Response Set,Anonymous,,,27.62.214.89,0,2017-04-17 08:41:39,2017-04-17 08:44:53,1,822812,1,1,5,3,4,4,4,2,3,3,3,3,3,4,4,2,1,4,4,2,4,4,7,8,1,4,5,4,5,3,4,4,5,5,3,3,4,2,4,2,5,5,,,,,,,,,,,,,,,,,,,,,Somewhat natural,28,,,,1,,,,,,1,11.100006103516,77.350006103516,-1,
R_3aygMHniD4f97SV,Default Response Set,Anonymous,,,216.105.109.22,0,2017-04-17 08:40:53,2017-04-17 08:45:13,1,604984,1,1,5,6,4,2,3,4,4,3,4,2,2,2,2,4,3,2,4,4,4,2,,,,,,,,,,,,,,,,,,,,,7,5,5,3,3,4,3,4,3,4,3,4,3,5,4,3,3,3,4,4,na,26,1,,1,,,,,,,2,41.083694458008,-73.839698791504,-1,
R_1lcwtYHmhLwl59j,Default Response Set,Anonymous,,,112.133.236.172,0,2017-04-17 08:41:58,2017-04-17 08:45:19,1,291734,1,1,,,,,,,,,,,,,,,,,,,,,7,7,7,4,4,3,3,3,3,3,4,3,4,4,1,4,4,3,3,3,7,7,7,4,3,4,3,3,3,4,4,4,3,3,4,3,4,4,3,3,facial expression,25,,,,1,,,,,,1,9.9667053222656,76.233306884766,-1,
R_3kgCB5zMRIeveak,Default Response Set,Anonymous,,,103.60.143.196,0,2017-04-17 08:42:39,2017-04-17 08:45:43,1,827054,1,1,5,6,4,5,5,5,4,4,5,3,4,4,3,2,4,4,4,5,3,3,3,4,4,3,3,4,3,3,3,1,1,2,2,1,2,5,5,2,3,3,,,,,,,,,,,,,,,,,,,,,nice design,33,,,,1,,,,,,1,9.8500061035156,76.966705322266,-1,
R_1lcocgNSzCrRcPF,Default Response Set,Anonymous,,,68.81.42.79,0,2017-04-17 08:42:51,2017-04-17 08:45:52,1,669213,1,1,,,,,,,,,,,,,,,,,,,,,3,7,4,1,1,1,1,1,1,1,1,1,1,1,2,1,3,3,3,2,3,6,5,1,2,1,1,1,1,1,1,1,1,1,2,1,3,3,3,2,They were somewhat natural.,58,1,,,,,,,,,2,40.270095825195,-75.403999328613,-1,
R_1pT2d2tEXNvVJUP,Default Response Set,Anonymous,,,49.205.145.167,0,2017-04-17 08:43:29,2017-04-17 08:46:10,1,729084,1,1,5,5,6,4,3,4,4,3,3,4,3,3,3,4,3,3,3,4,4,3,5,6,6,3,3,3,4,3,3,3,3,3,3,3,3,3,3,2,3,3,,,,,,,,,,,,,,,,,,,,,No thoughts,30,,,,1,,,,,,1,10.992492675781,76.961395263672,-1,
R_2qt9q4wTKVHDt5I,Default Response Set,Anonymous,,,98.94.18.128,0,2017-04-17 08:40:40,2017-04-17 08:46:33,1,991936,1,1,2,9,7,5,4,1,3,2,2,1,4,2,2,1,3,4,4,1,2,3,,,,,,,,,,,,,,,,,,,,,9,6,1,3,4,1,2,4,1,2,3,3,2,5,1,2,1,4,3,2,no,25,1,,,,,,,,,1,33.448303222656,-81.692100524902,-1,
R_5bStxCj68M7jj4R,Default Response Set,Anonymous,,,117.209.252.185,0,2017-04-17 08:45:13,2017-04-17 08:47:21,1,355174,1,1,,,,,,,,,,,,,,,,,,,,,6,5,6,3,2,3,4,2,3,2,4,4,4,3,4,2,4,3,3,4,6,6,5,4,2,4,4,2,4,2,3,3,4,4,4,3,4,3,3,2,no,26,,,,1,,,,,,1,17.375305175781,78.474395751953,-1,
R_3OeUz7fppd2IoFO,Default Response Set,Anonymous,,,73.210.25.228,0,2017-04-17 08:43:57,2017-04-17 08:47:53,1,535941,1,1,1,8,7,2,2,4,3,3,3,1,1,1,1,1,4,1,4,5,4,1,,,,,,,,,,,,,,,,,,,,,2,6,8,2,3,4,4,3,2,1,1,1,1,1,4,1,3,5,5,4,I thought they movements and facial expressions seemed very human like ,37,1,,,,,,,,,2,40.676193237305,-89.635597229004,-1,
R_1EWKqL8v7RhcUry,Default Response Set,Anonymous,,,74.76.85.85,0,2017-04-17 08:47:34,2017-04-17 08:49:42,1,550247,1,1,1,8,2,1,1,3,3,2,1,1,1,1,1,1,2,1,4,4,4,1,2,8,3,1,1,2,3,1,2,1,1,1,1,1,2,1,4,5,4,1,,,,,,,,,,,,,,,,,,,,,"The movements were clearly unnatural, lots of rendering quality issues. Also terrifying. Please put some kind of volume warning or something.",22,1,,,,,,,,,1,42.882797241211,-73.370002746582,-1,
R_3jSOSMcWCczYMwZ,Default Response Set,Anonymous,,,69.166.72.210,0,2017-04-17 08:46:47,2017-04-17 08:50:21,1,472209,1,1,,,,,,,,,,,,,,,,,,,,,3,6,1,1,1,2,2,2,1,1,1,1,1,1,2,1,3,5,4,1,3,7,1,2,2,3,2,2,2,1,1,1,1,1,3,1,3,5,4,2,their arms were a little long,35,,,,,,,,1,,2,29.908203125,-98.437202453613,-1,
R_cO7X0wGX39vdqOB,Default Response Set,Anonymous,,,72.89.91.241,0,2017-04-17 08:48:38,2017-04-17 08:50:30,1,266021,1,1,1,8,3,1,1,1,2,1,1,1,1,1,1,1,5,1,1,1,4,1,,,,,,,,,,,,,,,,,,,,,1,6,6,1,1,2,2,1,2,1,1,1,1,1,4,1,1,1,4,1,,26,,1,,,,,,,,1,40.657806396484,-73.671997070312,-1,
R_2QzhsFqHRqfyPtS,Default Response Set,Anonymous,,,107.12.237.213,0,2017-04-17 08:47:38,2017-04-17 08:50:59,1,241416,1,1,3,8,4,1,2,3,3,3,3,1,1,1,1,1,3,1,3,5,3,2,,,,,,,,,,,,,,,,,,,,,3,7,4,2,3,3,3,3,3,1,1,1,1,1,2,1,3,4,3,3,unnatural,63,1,,,,,,,,,2,34.776596069336,-76.886703491211,-1,
R_1reRVuHWrcCfBlP,Default Response Set,Anonymous,,,190.142.101.160,0,2017-04-17 08:42:12,2017-04-17 08:53:07,1,675645,1,1,4,7,7,2,2,2,3,1,1,1,1,1,1,1,1,1,5,5,2,1,,,,,,,,,,,,,,,,,,,,,5,7,6,1,2,2,2,2,1,1,1,1,1,1,1,2,5,5,2,3,the expressions and movement where to robotic especially the arms,21,,,,,,,,1,,1,10.028900146484,-69.089401245117,-1,
R_2xQQQ2iOnolGRNE,Default Response Set,Anonymous,,,66.190.28.239,0,2017-04-17 08:51:27,2017-04-17 08:55:35,1,983116,1,1,4,6,5,1,2,2,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,7,3,1,1,2,1,1,1,1,1,1,1,1,2,1,3,3,2,2,,,,,,,,,,,,,,,,,,,,,YES,28,1,,,,,,,,,2,43.910202026367,-91.243202209473,-1,
R_8BnfvX6ZP0siJWx,Default Response Set,Anonymous,,,112.110.91.150,0,2017-04-17 08:53:20,2017-04-17 08:56:07,1,774399,1,1,3,5,3,3,2,2,2,3,3,3,3,3,4,4,2,2,4,2,4,2,,,,,,,,,,,,,,,,,,,,,2,4,4,3,4,3,2,3,3,2,3,2,2,2,2,3,2,2,4,3,Expressions is very natural,28,,,,1,,,,,,1,9.5832977294922,76.516693115234,-1,
R_dbgm5i1DWTxO1Ql,Default Response Set,Anonymous,,,192.180.55.39,0,2017-04-17 08:53:09,2017-04-17 08:56:33,1,94596,1,1,,,,,,,,,,,,,,,,,,,,,3,8,1,2,3,3,3,4,1,1,1,1,1,1,3,1,5,5,4,3,3,6,1,1,3,5,4,3,2,1,1,1,1,1,3,1,5,5,4,4,The movements were choppy.,56,1,,,,,,,,,2,39.016296386719,-84.598098754883,-1,
R_3PoezcVaM2J5gMN,Default Response Set,Anonymous,,,79.52.183.12,0,2017-04-17 08:51:55,2017-04-17 08:57:10,1,710689,1,1,,,,,,,,,,,,,,,,,,,,,3,3,4,1,1,2,2,1,2,1,1,1,1,1,2,1,2,4,1,1,3,5,4,1,2,1,2,1,1,1,1,1,1,1,2,1,2,5,2,1,"They were unnatural, their arms were very long and they were stiff",52,1,,,,,,,1,,2,42.483306884766,14.13330078125,-1,
R_Ugesg9CZhttLKBH,Default Response Set,Anonymous,,,36.71.223.210,0,2017-04-17 08:54:29,2017-04-17 08:57:13,1,684095,1,1,4,7,5,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,4,2,3,7,5,3,4,3,3,3,3,2,3,4,5,4,4,2,3,4,4,3,,,,,,,,,,,,,,,,,,,,,mimic unnatural,36,,,,1,,,,,,1,-6.1743927001953,106.82940673828,-1,
